name	gene	loc	str	base	opt	introns	don	acc	emm	imm	elen	ilen	icost
ch.17237	Gene:WBGene00044291	V:19405628-19406493	+	0.8031703211159231	0.6682	10	0.7680	0.3685	0.9977	0.0033	0.0052	0.9987	0.9783
ch.10164	Gene:WBGene00019152	IV:5895389-5895987	+	1.1049869260270697	0.0000	3	0.5062	0.5168	0.4626	0.9755	0.4240	0.0641	0.4354
ch.5186	Gene:WBGene00009713	II:8996924-8997761	-	0.3154932192097643	0.1950	8	0.9935	0.9961	0.0005	0.4883	0.9925	0.9959	0.0001
ch.6017	Gene:WBGene00012602	II:12678934-12679512	+	0.020187776738893	0.0004	5	0.9983	0.1547	0.9952	0.9989	0.9873	0.0051	0.8708
ch.11372	Gene:WBGene00007443	IV:11150012-11151029	+	0.9123618867079238	0.6738	17	0.8056	0.9918	0.9986	0.4157	0.9996	0.0180	0.9910
ch.10847	Gene:WBGene00013515	IV:9042286-9043446	-	0.6923553235821291	0.0003	6	0.0165	0.9395	0.9452	0.0415	0.0609	0.0311	0.2573
ch.18553	Gene:WBGene00020886	X:6596324-6597220	-	0.7269351239641065	0.0236	15	0.9956	0.7268	0.9995	0.9903	0.0065	0.0075	0.9894
ch.15599	Gene:WBGene00011286	V:12906027-12906931	-	0.682816679620028	0.0526	7	0.0012	0.0067	0.9972	0.1807	0.0163	0.9531	0.9787
ch.13551	Gene:WBGene00006392	V:4687002-4687998	+	1.0940366211539458	0.6347	11	0.9975	0.2004	0.0031	0.0004	0.0117	0.0125	0.9936
ch.15157	Gene:WBGene00007390	V:11124085-11125155	+	0.6167125799038464	0.6140	17	0.9973	0.9896	0.9987	0.9993	0.9957	0.9972	0.0141
ch.17331	Gene:WBGene00004810	V:19924123-19925132	+	1.0130992227982567	0.0582	6	0.9923	0.5634	0.0058	0.9971	0.9971	0.9977	0.0082
ch.266	Gene:WBGene00021347	I:2064192-2064785	+	1.959542589720571	0.7547	4	0.0074	0.6758	0.9944	0.0064	0.9984	0.9959	0.4730
ch.1599	Gene:WBGene00011035	I:8601254-8602134	+	1.3529828766742256	0.0218	8	0.9997	0.9953	0.9972	0.2951	0.0040	0.9988	0.9908
ch.10645	Gene:WBGene00020374	IV:8225573-8226451	+	1.333426927854443	0.1223	17	0.9994	0.9966	0.9967	0.9912	0.9995	0.9988	0.0059
ch.12210	Gene:WBGene00013636	IV:15641375-15641898	-	1.0344008312757524	0.0069	5	0.9986	0.9929	0.9929	0.9172	0.9906	0.9898	0.8883
ch.1423	Gene:WBGene00077543	I:7729083-7729977	+	1.9998917924579362	0.4594	6	0.9947	0.3530	0.0015	0.4688	0.9841	0.0000	0.5282
ch.19880	Gene:WBGene00008356	X:14529687-14530306	-	1.3331399287116246	0.0000	3	0.0561	0.8675	0.6836	0.8955	0.3929	0.1485	0.4183
ch.10661	Gene:WBGene00018071	IV:8299835-8300746	+	0.04532503641656509	0.0336	12	0.9977	0.9709	0.9843	0.9965	0.9898	0.9971	0.9959
ch.1340	Gene:WBGene00003236	I:7312696-7313624	-	0.6999843549311499	0.1394	8	0.9966	0.9975	0.0019	0.9998	0.0021	0.8021	0.0050
ch.9832	Gene:WBGene00017485	IV:4291373-4291974	+	1.9805226617694693	0.0000	1	0.3930	0.1639	0.2952	0.3522	0.7647	0.1855	0.6361
ch.664	Gene:WBGene00003061	I:4372154-4373117	-	0.7071899051330228	0.0786	11	0.9964	0.9409	0.0037	0.9975	0.0132	0.9976	0.0095
ch.8432	Gene:WBGene00003035	III:9823982-9824849	-	1.1840778211615732	0.5543	8	0.0029	0.9854	0.9950	0.9978	0.0049	0.9988	0.9893
ch.2886	Gene:WBGene00004495	I:14759829-14760725	+	1.9999932006448904	1.7932	33	0.0057	0.2723	0.4828	0.3921	0.0190	0.0013	0.9994
ch.2868	Gene:WBGene00013200	I:14706958-14707974	-	1.9889399726684316	0.3150	15	0.9993	0.9975	0.9993	0.4415	0.9958	0.0075	0.9953
ch.11657	Gene:WBGene00009215	IV:12383069-12384073	+	1.3361939651331631	0.0005	4	0.8016	0.5685	0.0980	0.2054	0.2402	0.5763	0.0893
ch.620	Gene:WBGene00020033	I:4153865-4154551	-	1.197975271351626	0.0559	23	1.0000	0.9964	0.9983	0.1324	0.9947	0.0001	0.0224
ch.4082	Gene:WBGene00000928	II:4562849-4563560	+	1.9276991008213793	0.0245	13	0.9985	0.3972	0.9993	0.0067	0.9943	0.1259	0.0072
ch.10581	Gene:WBGene00016790	IV:7924249-7925067	+	0.8095740634112875	0.2544	17	0.0020	0.9997	0.9917	0.9916	0.9983	0.9973	0.0001
ch.18100	Gene:WBGene00018532	X:3787925-3788625	+	1.2923984417251855	0.0023	3	0.9996	0.3486	0.9993	0.9991	0.0040	0.0043	0.4277
ch.5684	Gene:WBGene00003076	II:11126849-11127627	+	1.3248619307410907	0.0003	9	0.7453	0.8800	0.3370	0.6921	0.2882	0.8702	0.6733
ch.9629	Gene:WBGene00015248	IV:3385809-3387000	+	1.9999961112443363	0.0010	28	0.2550	0.5780	0.1969	0.9976	0.0071	0.0013	0.9920
ch.11482	Gene:WBGene00004480	IV:11602540-11603379	+	0.8454871665800154	0.2160	58	0.9916	0.9981	0.0036	0.2377	0.0085	0.6370	0.9987
ch.8825	Gene:WBGene00013237	III:11915052-11915811	-	1.3244048244609217	0.0000	9	0.2519	0.8187	0.7350	0.7934	0.2824	0.0324	0.5750
ch.6428	Gene:WBGene00001787	II:15171062-15172015	-	1.3369216719250319	0.0205	11	0.9986	0.6082	0.9951	0.9971	0.9857	0.0052	0.3659
ch.9727	Gene:WBGene00044472	IV:3894969-3895605	+	0.9885848425256779	0.0011	2	0.1718	0.3914	0.7590	0.7689	0.0643	0.7570	0.5172
ch.17511	Gene:WBGene00011391	V:20837979-20838867	+	0.5923499357875037	0.1021	14	0.4513	0.7648	0.9993	0.0021	0.9975	0.9982	0.0345
ch.8535	Gene:WBGene00303019	III:10222059-10222975	+	0.11014169895854499	0.1101	10	0.4886	0.8541	0.9992	0.6895	0.0012	0.1123	0.9924
ch.14628	Gene:WBGene00002017	V:9089976-9090703	+	1.495863746501864	0.7569	31	0.5256	0.2615	0.9985	0.3146	0.2752	0.0059	0.9981
ch.4696	Gene:WBGene00016623	II:6901994-6903030	+	0.4690673126115005	0.2355	12	0.9955	0.6728	0.0021	0.9891	0.9974	0.9989	0.0101
ch.12331	Gene:WBGene00020286	IV:16865739-16866603	+	0.7075336226509502	0.0001	10	0.3374	0.5643	0.9529	0.4209	0.4321	0.8323	0.4544
ch.19375	Gene:WBGene00011446	X:11647364-11648295	+	0.9921471015437834	0.5475	53	0.9884	0.7026	0.8581	0.1995	0.0024	0.2461	0.9945
ch.14627	Gene:WBGene00002020	V:9089179-9089865	-	1.2073754373878056	0.0000	16	0.7761	0.9926	0.2691	0.0525	0.2299	0.9102	0.1261
ch.702	Gene:WBGene00004479	I:4583812-4584604	-	0.6765973657432454	0.0985	63	0.9930	0.8225	0.0113	0.9985	0.0027	0.0044	0.9786
ch.3571	Gene:WBGene00017708	II:2638287-2639206	+	0.8752250675643735	0.1013	4	0.9984	0.9882	0.5647	0.9948	0.9989	0.0031	0.0199
ch.1274	Gene:WBGene00009051	I:7090639-7091460	+	0.7071495449486183	0.1354	10	0.9988	0.9978	0.0143	0.8930	0.0089	0.9962	0.9625
ch.5501	Gene:WBGene00006918	II:10302949-10303812	-	0.18519239411891383	0.1836	24	0.9991	0.0051	0.9976	0.9996	0.9973	0.9922	0.9973
ch.8729	Gene:WBGene00003975	III:11343221-11344246	+	1.3893622683897862	0.1357	8	0.0847	0.9964	0.0067	0.4674	0.0896	0.0035	0.9057
ch.17137	Gene:WBGene00008310	V:18807968-18808828	-	1.232505261967144	0.0001	3	0.3749	0.6259	0.9242	0.0153	0.9189	0.8568	0.2746
ch.5197	Gene:WBGene00004446	II:9056396-9057184	-	0.8203049227140561	0.1830	28	0.9993	0.9990	0.0028	0.3427	0.0060	0.9986	0.9944
ch.3287	Gene:WBGene00015605	II:1631894-1632415	-	0.6672462039953875	0.0038	3	0.9934	0.9962	0.9992	0.9375	0.9978	0.9983	0.8894
ch.595	Gene:WBGene00000779	I:3987839-3988798	+	0.17878959298285702	0.1556	45	0.9983	0.9984	0.7546	0.3428	0.9925	0.2417	0.7528
ch.1172	Gene:WBGene00017068	I:6620564-6621394	+	0.6732280893451377	0.0776	13	0.5410	0.5192	0.9962	0.2015	0.0068	0.6386	0.9775
ch.10908	Gene:WBGene00009882	IV:9321700-9322624	+	0.7113541477264417	0.0046	13	0.0872	0.1130	0.9123	0.8145	0.0289	0.0227	0.8424
ch.14924	Gene:WBGene00007544	V:10231131-10231693	+	0.03113577408158117	0.0002	4	0.1184	0.5000	0.6809	0.5484	0.5900	0.3195	0.5981
ch.6396	Gene:WBGene00013150	II:14968532-14969453	-	0.6727839885310544	0.1724	10	0.9999	0.9957	1.0000	0.9941	0.0019	0.6835	0.0498
ch.14037	Gene:WBGene00304201	V:6950706-6951505	-	1.2834318269170135	0.6844	11	0.9963	0.9884	0.0030	0.3325	0.9985	0.0050	0.0037
ch.2110	Gene:WBGene00044413	I:10730362-10730842	+	0.18042989010796612	0.0003	4	0.3606	0.8289	0.9448	0.9150	0.9436	0.4080	0.8561
ch.13786	Gene:WBGene00015769	V:5665141-5666185	-	2.0	0.0009	2	0.4148	0.8643	0.9950	0.0060	0.4189	0.6771	0.4548
ch.5016	Gene:WBGene00008820	II:8294728-8295495	-	1.3991164790434523	0.0000	3	0.8629	0.5297	0.0662	0.1332	0.0704	0.1471	0.2053
ch.11796	Gene:WBGene00009892	IV:13051272-13052318	+	0.09396519832547127	0.0584	4	0.9877	0.9966	0.9960	0.0000	0.9980	0.9981	0.0114
ch.2559	Gene:WBGene00001427	I:12918621-12919379	+	1.332799373971588	0.0683	34	0.9989	0.8909	0.0066	0.9990	0.0040	0.0013	0.9929
ch.18915	Gene:WBGene00019732	X:8731209-8732021	-	1.3492579745432651	0.0037	9	0.9875	0.7698	0.9621	0.5967	0.0084	0.9860	0.6255
ch.18544	Gene:WBGene00017688	X:6512184-6513017	+	0.7848926604270451	0.0578	5	0.5106	0.6810	0.3960	0.0079	0.0022	0.0012	0.9978
ch.1636	Gene:WBGene00044614	I:8730055-8731020	+	0.7227766471422488	0.0283	7	0.9937	0.9899	0.6418	0.3398	0.9904	0.9885	0.0154
ch.14905	Gene:WBGene00014108	V:10201997-10202709	+	1.6324683733980903	0.3204	8	0.9970	0.9916	0.9962	0.0058	0.9888	0.9961	0.6093
ch.12136	Gene:WBGene00012766	IV:15028257-15029077	-	0.7431800813035947	0.2300	26	0.9957	0.9961	0.9891	0.0408	0.9973	0.9988	0.0021
ch.15597	Gene:WBGene00011284	V:12903449-12904197	-	1.0942316049795306	0.0000	2	0.9965	0.9943	0.9742	0.2039	0.8941	0.8907	0.1657
ch.15884	Gene:WBGene00044080	V:14082652-14083683	+	0.3189862565518777	0.1333	21	0.9968	0.9983	0.9992	0.4314	0.9988	0.9913	0.0144
ch.15952	Gene:WBGene00009803	V:14315758-14316724	-	1.8589713525435574	0.0000	3	0.0128	0.9948	0.7432	0.0129	0.6644	0.9407	0.9288
ch.7376	Gene:WBGene00019630	III:5173338-5173908	+	1.010517072796887	0.0166	7	0.9991	0.9948	0.9992	0.9981	0.9575	0.0070	0.0022
ch.9254	Gene:WBGene00018935	IV:794531-795532	-	1.4408522071051006	0.0555	8	0.0026	0.3630	0.8327	0.9106	0.6428	0.0263	0.9742
ch.7459	Gene:WBGene00017303	III:5551131-5552234	-	1.999907290519065	0.1948	5	0.0079	0.0007	0.9985	0.9986	0.0015	0.0008	0.9932
ch.237	Gene:WBGene00004441	I:1834782-1835537	+	0.2011005989625587	0.1957	66	0.9932	0.9953	0.9998	0.9950	0.9921	0.0097	0.9980
ch.1078	Gene:WBGene00016754	I:6252981-6253683	+	0.9530808812377556	0.3100	9	0.9964	0.9637	0.0336	0.0041	0.9978	0.9996	0.9506
ch.8385	Gene:WBGene00010230	III:9629145-9629984	-	0.8039110990280035	0.0307	10	0.1046	0.1588	0.9423	0.9988	0.0071	0.0950	0.9488
ch.15816	Gene:WBGene00008628	V:13853733-13854504	-	1.33413354403276	0.1831	4	0.3497	0.9970	0.9895	0.9977	0.0003	0.0129	0.9776
ch.14297	Gene:WBGene00001464	V:7793266-7794124	+	1.2307134112728362	0.0502	4	0.7182	0.0120	0.9979	0.4010	0.0015	0.0111	0.9988
ch.2035	Gene:WBGene00013725	I:10473412-10474534	-	0.7493877272609002	0.2339	11	0.7015	0.5659	0.9995	0.0553	0.0055	0.0167	0.9983
ch.6294	Gene:WBGene00185067	II:14348785-14349505	-	1.2900117746928403	0.0005	6	0.9957	0.9962	0.9925	0.0042	0.0078	0.9973	0.7493
ch.19876	Gene:WBGene00008357	X:14523474-14524120	+	1.3331723340720545	0.0000	1	0.5740	0.5801	0.2476	0.3809	0.7183	0.9992	0.3256
ch.2485	Gene:WBGene00012216	I:12551436-12552474	+	1.3302302521195692	0.0000	2	0.8177	0.6671	0.3701	0.2752	0.1889	0.9607	0.2716
ch.18160	Gene:WBGene00018602	X:4246453-4247311	-	0.6773825739298873	0.0929	20	0.9940	0.9969	0.9406	0.0065	0.9976	0.0016	0.0105
ch.19878	Gene:WBGene00008358	X:14527069-14527758	-	1.7924576435725992	0.6985	2	0.0040	0.8336	0.9975	0.0047	0.0117	0.9915	0.9208
ch.9929	Gene:WBGene00021199	IV:4764043-4764721	+	1.9859630291836456	1.4596	8	0.9980	0.0085	0.9853	0.3549	0.0002	0.0052	0.9968
ch.7337	Gene:WBGene00007015	III:5021123-5022059	+	0.7443514519644012	0.1304	17	0.0190	0.2890	0.9975	0.9948	0.0069	0.0015	0.9963
ch.11249	Gene:WBGene00011289	IV:10687506-10688234	+	1.2918251485216499	0.0814	7	0.9997	0.9991	0.9958	0.0001	0.0012	0.0009	0.9965
ch.7370	Gene:WBGene00044604	III:5158774-5159704	-	1.355603400499204	0.1237	13	0.9923	0.9898	0.0694	0.6218	0.0135	0.9964	0.0653
ch.6611	Gene:WBGene00050914	III:954190-954752	-	1.330940363484848	0.2361	4	0.0039	0.0011	0.9999	0.9971	0.0028	0.0093	0.9990
ch.4700	Gene:WBGene00044615	II:6916065-6917062	+	1.9980389660002569	0.0000	2	0.9273	0.1453	0.0753	0.9669	0.5940	0.0125	0.7214
ch.13039	Gene:WBGene00302982	V:2638789-2639548	+	1.1423269134965202	0.0528	2	0.9992	0.4353	0.9991	0.0053	0.0019	0.0041	0.5341
ch.18043	Gene:WBGene00022820	X:3446210-3447034	+	1.342631440199831	1.0148	8	0.9794	1.0000	0.9928	0.9968	0.0029	0.6547	0.9954
ch.5773	Gene:WBGene00077453	II:11533825-11534578	-	1.374183158248831	0.0134	7	0.9949	0.9978	0.0950	0.9965	0.0057	0.9948	0.9749
ch.19581	Gene:WBGene00000016	X:12792753-12793485	+	1.3604701158202603	0.0473	5	0.9983	0.9984	0.9962	0.9959	0.0341	0.9938	0.3277
ch.14896	Gene:WBGene00008255	V:10160335-10161233	-	1.348792953330382	0.1095	3	0.0010	0.6523	0.0005	0.0008	0.0013	0.9994	0.5538
ch.7172	Gene:WBGene00303105	III:4417404-4418155	-	1.5482694947299054	0.8261	13	0.5026	0.1998	0.1936	0.4190	0.2421	0.1760	0.1913
ch.15614	Gene:WBGene00004151	V:12952535-12953307	+	0.7741142132492559	0.1635	9	0.8718	0.2118	0.0678	0.4889	0.3340	0.2453	0.9943
ch.15526	Gene:WBGene00010174	V:12637562-12638335	+	1.999955855587878	0.1106	10	0.9988	0.9944	0.0003	0.2840	0.0202	0.3154	0.2013
ch.7598	Gene:WBGene00018343	III:6177815-6178785	-	1.6963566746504775	0.0191	8	0.9995	0.9997	0.0024	0.9274	0.9970	0.0010	0.7221
ch.19123	Gene:WBGene00044686	X:10087213-10088065	-	0.8106541818827554	0.3710	8	0.5106	0.0019	0.9959	0.8254	0.0214	0.0272	0.9320
ch.4745	Gene:WBGene00017348	II:7112979-7113831	+	1.350512720206589	1.2765	11	0.5583	0.2508	0.9983	0.0005	0.0027	0.0069	0.9981
ch.11905	Gene:WBGene00003755	IV:13505169-13505861	-	1.085875796078592	0.0000	2	0.2964	0.1633	0.6525	0.4562	0.2251	0.7823	0.3384
ch.8037	Gene:WBGene00017041	III:8155365-8156179	+	1.59627825697361	0.7508	10	0.9994	0.9992	0.0004	0.0585	0.0058	0.6507	0.0017
ch.11340	Gene:WBGene00001426	IV:11036481-11037273	+	0.6490865894398196	0.0150	11	0.9965	0.9160	0.9982	0.9982	0.9987	0.9985	0.0023
ch.16114	Gene:WBGene00011319	V:14991067-14991748	+	0.4629680866568526	0.2293	19	0.9929	0.9980	0.9983	0.2689	0.9949	0.9957	0.0706
ch.8719	Gene:WBGene00012931	III:11274965-11276131	+	0.920934647366597	0.1062	12	0.9935	0.9993	0.0045	0.0267	0.9938	0.9997	0.9835
ch.7816	Gene:WBGene00004483	III:7178890-7179687	-	0.21540824502324904	0.1334	37	0.9992	0.9933	0.9989	0.9956	0.0430	0.5655	0.9991
ch.8073	Gene:WBGene00017321	III:8267820-8268454	-	0.8839890951844722	0.0004	3	0.7147	0.9976	0.0146	0.0429	0.0071	0.9997	0.8183
ch.13058	Gene:WBGene00016052	V:2730521-2731197	-	1.289890892655775	0.0000	5	0.9654	0.7347	0.9989	0.7403	0.0274	0.0669	0.1711
ch.14921	Gene:WBGene00007541	V:10227942-10228559	-	0.7921910355979784	0.0001	2	0.7935	0.9879	0.1339	0.4349	0.8523	0.0242	0.6584
ch.4214	Gene:WBGene00044666	II:5040107-5040780	-	0.896743845154149	0.1937	10	0.9975	0.9984	0.0005	0.9959	0.9942	0.9984	0.9802
ch.1162	Gene:WBGene00000236	I:6563528-6564550	-	0.8592267040421806	0.1559	14	0.9976	0.9989	0.9887	0.9992	0.9998	0.9917	0.9980
ch.7309	Gene:WBGene00017830	III:4917142-4918107	-	0.6806422873772016	0.1437	9	0.9994	0.9691	0.9975	0.9975	0.9820	0.0035	0.0252
ch.4072	Gene:WBGene00015136	II:4522360-4523321	-	0.28400739671697756	0.1035	9	0.9966	0.9988	0.9988	0.0074	0.9825	0.9953	0.0184
ch.6973	Gene:WBGene00010305	III:3404762-3405568	+	0.8054609284370922	0.1253	9	0.9995	0.6229	0.0036	0.9999	0.0096	0.9936	0.9977
ch.7741	Gene:WBGene00019381	III:6872988-6873828	+	1.3243547933926794	0.9572	11	0.9999	0.5137	0.9870	0.1934	0.0456	0.0600	0.9974
ch.8564	Gene:WBGene00004986	III:10354997-10355767	-	1.3630333558000376	0.1803	9	0.9995	0.4289	0.9976	0.0065	0.0016	0.0023	0.9955
ch.8352	Gene:WBGene00014224	III:9523020-9523771	-	0.8320372552339057	0.0720	15	0.9938	0.9971	0.9972	0.0035	0.0055	0.9979	0.0117
ch.13952	Gene:WBGene00271815	V:6556552-6557234	-	0.7345817380040986	0.2422	9	0.9969	0.8021	0.9946	0.9972	0.0108	0.9998	0.0022
ch.17537	Gene:WBGene00011606	X:162428-163233	-	1.1678399403369266	0.3822	2	0.0034	0.0031	0.9967	0.5530	0.0046	0.0001	0.9981
ch.18672	Gene:WBGene00004988	X:7314868-7315452	-	0.504767550619169	0.0010	7	0.9981	0.9992	0.9993	0.9930	0.0061	0.9996	0.9939
ch.15164	Gene:WBGene00003771	V:11147245-11147836	+	1.1122360009469507	0.0907	51	0.9977	0.9984	0.0016	0.7098	0.9948	0.9996	0.9948
ch.12400	Gene:WBGene00009156	IV:17276855-17277847	+	1.2288374854395347	0.0988	15	0.9996	0.9567	0.0021	0.9975	0.9959	0.0068	0.2881
